index,source,description,material,unit,rate,cci,decision,reason
932,PA,Ground floor to 33rd floor,plaster,m2,532.0,2235.2941,REMOVE,R1_outlier (IQR flag from Part 2)
965,PA,Providing and fixing at parking floor to floor expansion joint Kantaflex model n,aluminium,m,6340.0,950.6673,REMOVE,R1_outlier (IQR flag from Part 2)
973,PA,Supplying and installing MS fabricated ramp drain grating using 60mm dia. M.S pi,steel,m,5738.0,3336.0465,REMOVE,R1_outlier (IQR flag from Part 2)
977,PA,Providing  and  Constructing  of  Solid  Cement  Concrete  Block  Masonry  Work ,brick,m2,1255.0,5892.0188,REMOVE,R1_outlier (IQR flag from Part 2)
978,PA,Providing  and  Constructing  of  Solid  Cement  Concrete  Block  Masonry  Work ,brick,m2,1073.0,5037.5587,REMOVE,R1_outlier (IQR flag from Part 2)
979,PA,Providing  and  Constructing  of  Solid  Cement  Concrete  Block  Masonry  Work ,brick,m2,1045.0,4906.1033,REMOVE,R1_outlier (IQR flag from Part 2)
980,PA,Brick Masonry: Providing & constructing brick masonry in cement mortar 1:6 using,brick,m3,7054.0,33117.3709,REMOVE,R1_outlier (IQR flag from Part 2)
982,PA,Size Stone Masonry: Providing and constructing Size stone masonry in CM 1:4 usin,mortar,m3,5006.0,24067.3077,REMOVE,R1_outlier (IQR flag from Part 2)
983,PA,"Plastering internal surfaces of walls, beam above wall, brick fins, brick pillar",brick,m2,436.0,2046.9484,REMOVE,R1_outlier (IQR flag from Part 2)
984,PA,Providing & application of one coat of Gypsum plaster - Buildon or equivalent ov,plaster,m2,320.0,1344.5378,REMOVE,R1_outlier (IQR flag from Part 2)
990,PA,"Providing  & applying rough plastering  in CM 1:6, 12mm thick for walls, fixing ",plaster,m2,350.0,1470.5882,REMOVE,R1_outlier (IQR flag from Part 2)
993,PA,"Providing and fixing of 6mm thick annealed, premium GRIHA rated lacquered glass ",concrete,m2,5333.0,3119.8081,REMOVE,R1_outlier (IQR flag from Part 2)
1014,PA,Providing  & Laying Vitrified Tiles of Kajaria /Nitco or equivalent  reputed  ma,tile,m2,1125.0,1413.3166,REMOVE,R1_outlier (IQR flag from Part 2)
1015,PA,Main door D1 - 1.05m x 2.35m ,paint,no.s,40349.0,18749.5353,REMOVE,R1_outlier (IQR flag from Part 2)
1016,PA,D2 - 0.90m x 2.10m,paint,no.s,17834.0,8287.1747,REMOVE,R1_outlier (IQR flag from Part 2)
1017,PA,D2b - 0.90m x 2.35m,paint,no.s,19019.0,8837.8253,REMOVE,R1_outlier (IQR flag from Part 2)
1018,PA,D3 - 0.80m x 2.10m,paint,no.s,15464.0,7185.8736,REMOVE,R1_outlier (IQR flag from Part 2)
1019,PA,D4 - 1.20m x 2.10m,paint,no.s,15464.0,7185.8736,REMOVE,R1_outlier (IQR flag from Part 2)
1055,PA,"Providing ,Fabricating and fixing in position  MS railings  using Tata Tube or e",paint,m,2525.0,1173.3271,REMOVE,R1_outlier (IQR flag from Part 2)
1072,PA,Supply of leanto type M.S Steel Structure (50x50x2.6 mm thk MS box section for T,paint,m2,4144.0,1925.6506,REMOVE,R1_outlier (IQR flag from Part 2)
1073,PA,"Providing & fixing 12mm thick Bison board for rain water pipe covering, cut to r",paint,m2,2741.0,1273.6989,REMOVE,R1_outlier (IQR flag from Part 2)
1075,PA,Chain Link Fencing for DG room: Providing & fixing Chain link fencing as per the,paint,m2,2100.0,975.8364,REMOVE,R1_outlier (IQR flag from Part 2)
1076,PA,"Providing and fixing GRC Jaalis (screening) of approved size, design and thickne",paint,m2,4882.0,2268.5874,REMOVE,R1_outlier (IQR flag from Part 2)
1118,PA,"Supplying, providing, fabricating and erecting Structural  steel  members in pos",steel,ton,132792.8,77205.1163,REMOVE,R1_outlier (IQR flag from Part 2)
1123,PA,FD1 - 1.10mX2.60m,paint,nos,24908.4255319149,11574.5472,REMOVE,R1_outlier (IQR flag from Part 2)
1124,PA,FD1a - 1.10mX2.35m,paint,nos,23371.0,10860.1301,REMOVE,R1_outlier (IQR flag from Part 2)
1125,PA,FD1b - 1.10mX2.40m ,paint,nos,23676.2631578947,11001.981,REMOVE,R1_outlier (IQR flag from Part 2)
1126,PA,FD1c - 1.10mX2.10m,paint,nos,21661.1086956522,10065.571,REMOVE,R1_outlier (IQR flag from Part 2)
1127,PA,FD2 - 0.90mX1.60m,paint,nos,10382.1991434689,4824.442,REMOVE,R1_outlier (IQR flag from Part 2)
1128,PA,FD3 - Double Leaf - 1.20mX1.20m,paint,nos,11083.7016393443,5150.419,REMOVE,R1_outlier (IQR flag from Part 2)
1129,PA,FD3a - 0.90mX1.20m,paint,nos,8200.64918032787,3810.7106,REMOVE,R1_outlier (IQR flag from Part 2)
1130,PA,FD4 - Double Leaf - 1.80mX2.40m,paint,nos,35344.1666666667,16423.8693,REMOVE,R1_outlier (IQR flag from Part 2)
1131,PA,FD9 - Double Leaf - 2.00mX2.40m,paint,nos,38007.5,17661.4777,REMOVE,R1_outlier (IQR flag from Part 2)
1132,PA,FD11 - 0.60mX1.20m,paint,nos,6203.11111111111,2882.4866,REMOVE,R1_outlier (IQR flag from Part 2)
1133,PA,FD12 - 0.75mX1.20m,paint,nos,7202.0,3346.6543,REMOVE,R1_outlier (IQR flag from Part 2)
1134,PA,FD13 - 0.5mX1.0m,paint,nos,4982.37078651685,2315.2281,REMOVE,R1_outlier (IQR flag from Part 2)
1135,PA,FD4 - 1.50mX2.35m (STP),paint,nos,30250.0,14056.6914,REMOVE,R1_outlier (IQR flag from Part 2)
1136,PA,SED4 - 0.60mX1.45m,paint,nos,7035.41176470588,3269.2434,REMOVE,R1_outlier (IQR flag from Part 2)
1137,PA,"
Providing and fixing Cladding tiles 2400mmx800mmx15mm of approved make & shade ",mortar,m2,3043.0,14629.8077,REMOVE,R1_outlier (IQR flag from Part 2)
1138,PA,Providing and fixing 20mm polished granite stone of approved shade “Grey Paradis,timber,m2,8768.41111467598,17785.8238,REMOVE,R1_outlier (IQR flag from Part 2)
1142,PA,Rope Suspended Platform Daily Hire Charges,paint,day,4500.0,2091.0781,REMOVE,R1_outlier (IQR flag from Part 2)
1143,PA,Mobilization & demobilization of Men & Machinary,paint,ls,110000.0,51115.2416,REMOVE,R1_outlier (IQR flag from Part 2)
1144,PA,Design charges,paint,ls,132000.0,61338.29,REMOVE,R1_outlier (IQR flag from Part 2)
1146,PA,"Micro pile installation of 200mm dia,4.8mm thk MS pipe for micro piling works. T",paint,m,2557.5,1188.4294,REMOVE,R1_outlier (IQR flag from Part 2)
934,PA,Fe 500,concrete,ton,57250.0,200.9477,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
935,PA,"For OHT/ LMR Ladders ,Basement/Ramp gratings, PHE Shaft Cat Ladder, Terrace Leve",concrete,ton,92807.0,325.7529,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
936,PA,"For FHC , Electrical , Communication & PHE shaft Platforms",concrete,ton,92807.0,325.7529,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
937,PA,20mm dia (heavy duty),concrete,nos,1120.0,3.9312,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
938,PA,16mm dia (heavy duty),concrete,nos,725.0,2.5448,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
939,PA,12mm dia,concrete,nos,459.0,1.6111,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
940,PA, 8mm dia,concrete,nos,213.0,0.7476,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
941,PA,10mm dia,concrete,nos,267.0,0.9372,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
942,PA,16mm dia,concrete,nos,725.0,2.5448,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
943,PA,20mm dia,concrete,nos,1120.0,3.9312,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
944,PA,25mm dia,concrete,nos,1898.0,6.662,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
967,PA, 160mm dia ,concrete,m,2550.0,8.9505,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
968,PA,Providing and constructing external well for sub soil drainage disposal with pre,concrete,nos,82875.0,290.8915,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
974,PA,Providing and casting RCC Inspection chambers of M20grade & size 600x600x750mm(c,concrete,nos,12199.0,42.8185,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
975,PA, - do - for 450x450x600mm size,concrete,nos,9047.0,31.755,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
976,PA,"- Necessary shuttering,curing etc.,complete",concrete,m,7013.0,24.6157,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1009,PA,100mm Wide Granite Threshold For Main Door,concrete,m,745.0,2.615,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1010,PA,Width - 175mm - toilet ledge walls,concrete,m,932.0,3.2713,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1011,PA,Location - Window Sill  - (Width 190 mm),concrete,m,930.0,3.2643,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1012,PA,Balcony/Sitout railing areas  - ( Width 200mm),concrete,m,826.0,2.8993,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1013,PA,"Toilet,Balconies & Utilities Drops and Wet/Dry area (Granite lining)",concrete,m,378.0,1.3268,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1070,PA,For Staircase flights areas,concrete,m,94.0,0.3299,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1071,PA,For Staircase Landing areas,concrete,m,75.0,0.2633,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1087,PA,Providing & fixing by using oxidized / SS / anticorrosive screws  in position de,concrete,m,326.0,0.915,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1105,PA,"Providing, Fabricating & Fixing MS railings  using Tata Tube or equivalent make ",concrete,m,2125.1,5.9644,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1106,PA,"Providing, Fabricating & Fixing MS railings  using Tata Tube or equivalent make ",concrete,m,2365.6,6.6393,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1107,PA,Supply  ,concrete,m,55.0,0.1544,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1108,PA,Installation,concrete,m,21.0,0.0589,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1110,PA,Supply & Installation of Thermo Coupler 9 Nos. & Connecting them to data logger ,concrete,nos,290030.0,814.0051,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1114,PA,Providing of Sturlite 6Sqmm x 5 core flexible cable,concrete,m,230.0,0.6455,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1120,PA,"Suppiy abd fixing of M19 Stud Bolts, These shear connectors are embossment in de",concrete,nos,149.5,0.6422,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1122,PA,"Suppiy and fixing of M16 Stud Bolts, These shear connectors are embossment in de",concrete,nos,126.3157894736842,0.5426,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1149,PA,Caping beam:Fabricating & fixing of caping beams ISMC (250mmx80mm flange) on top,concrete,ton,90200.0,316.6023,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1151,PA,Grouted Nails:Supply/Placing grouted nails with drilling of 150mm dia bore in to,concrete,m,1331.0,4.6718,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1152,PA,Waler beam: Providing and fixing of waler beam connecting all passive anchors wi,concrete,ton,90200.0,316.6023,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1153,PA,Providing and fixing of MS plate (300x300x12mm Thk) connecting all anchors with ,concrete,ton,90200.0,316.6023,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1154,PA,"Weep Holes: Providing and fixing , 50mm dia perforated pipes with 200 GSM textil",concrete,m,715.0,2.5097,REMOVE,R2_bad_unit: Concrete with non-volumetric unit (m/nos) — differential rate
1077,PA,Additional rate payable over & above -Item 2.03 from structural BOQ for reason i,concrete,m3,49.0,0.2105,REMOVE,R3_additional_rate: Differential/additional rate item — not a standalone unit rate
1078,PA,Additional rate over & above -Item 2.05G due to variation in cementetious conten,concrete,m3,85.0,0.2566,REMOVE,R3_additional_rate: Differential/additional rate item — not a standalone unit rate
1079,PA,Additional rate over and above - Item 2.05 H of Stuctural BOQ due concrete grade,concrete,m3,59.0,0.1955,REMOVE,R3_additional_rate: Differential/additional rate item — not a standalone unit rate
841,PA,up to 3.00m depth,concrete,m3,131.0,0.4598,KEEP,Valid unit rate with reliable CCI
842,PA,3.00m to 6.00m depth,concrete,m3,149.0,0.523,KEEP,Valid unit rate with reliable CCI
843,PA,6.00m to 9.00m depth,concrete,m3,168.0,0.5897,KEEP,Valid unit rate with reliable CCI
844,PA,9.00m to 12.00m depth,concrete,m3,184.0,0.6458,KEEP,Valid unit rate with reliable CCI
845,PA,Same as item No - 1.01 but for general excavation in Hard rock/ boulders (more t,concrete,m3,3634.0,12.7554,KEEP,Valid unit rate with reliable CCI
846,PA,"Excavation in all types of soil including dense soil, disintegrated/ weathered/ ",concrete,m3,213.0,0.7476,KEEP,Valid unit rate with reliable CCI
847,PA,Same as Item (1.02) but for excavation in Hard rock / boulders (more than 1/2 Cu,concrete,m3,3761.0,13.2011,KEEP,Valid unit rate with reliable CCI
849,PA, With excavated earth available at site,concrete,m3,135.0,0.4739,KEEP,Valid unit rate with reliable CCI
850,PA, With approved quality earth brought from outside (Cost to include royalty charg,concrete,m3,372.0,1.3057,KEEP,Valid unit rate with reliable CCI
851,PA,Providing and laying in position 150mm thick soling with sand cushion of 50mm th,tile,m2,422.0,530.1508,KEEP,Valid unit rate with reliable CCI
856,PA,Basement - 3 (for Basement beyond Tower),concrete,m3,5822.0,16.3402,KEEP,Valid unit rate with reliable CCI
857,PA,Basement 3,concrete,m3,7559.0,17.9976,KEEP,Valid unit rate with reliable CCI
858,PA,Basement 2,concrete,m3,7559.0,17.9976,KEEP,Valid unit rate with reliable CCI
859,PA,Club House Terrace,concrete,m3,5584.0,18.5023,KEEP,Valid unit rate with reliable CCI
860,PA,Basement 1,concrete,m3,7559.0,17.9976,KEEP,Valid unit rate with reliable CCI
861,PA,Ground Floor,concrete,m3,7559.0,17.9976,KEEP,Valid unit rate with reliable CCI
862,PA,First Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
863,PA,Second Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
864,PA,Third Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
865,PA,Fourth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
866,PA,Fifth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
867,PA,Sixth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
868,PA,Seventh Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
869,PA,Eight Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
870,PA,Ninth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
871,PA,Tenth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
872,PA,Eleventh Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
873,PA,Twelfth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
874,PA,Thirteenth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
875,PA,Fourteenth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
876,PA,Fifteenth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
877,PA,Sixteenth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
878,PA,Seventeenth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
879,PA,Eighteenth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
880,PA,Nineteenth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
881,PA,Twentieth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
882,PA,Twenty First Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
883,PA,Twenty Second Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
884,PA,Twenty Third Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
885,PA,Twenty Fourth Floor,concrete,m3,5643.0,17.038,KEEP,Valid unit rate with reliable CCI
